1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/3/7,2017/3/7,1000000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还本付息
1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/3/11,2017/3/10,250000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息，到期还本
1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/3/11,2017/3/10,50000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息，到期还本
1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/3/16,2016/8/2,1840670041,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还本付息
1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/3/16,2016/7/26,1020503065,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还本付息
1,民生银行民生加银资管同业合作乌鲁木齐分行3号专项资产管理计划,一对一,2015/12/10,2016/12/9,1640000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作乌鲁木齐分行1号专项资产管理计划,一对一,2015/12/16,2016/12/15,790000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作太原分行1号专项资产管理计划,一对一,2015/5/14,2018/5/14,45000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息；分次还本
1,民生银行民生加银资管同业合作太原分行1号专项资产管理计划,一对一,2016/1/28,2017/1/25,59300000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，季度末月首日支付整个季度收益；到期还本
1,民生银行民生加银资管同业合作太原分行1号专项资产管理计划,一对一,2016/2/25,2018/2/6,50000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，末月20日；到期还本
